name,category,subcategory,latitude,longitude,rating,reviewCount,address,description,website,phone,googleMapsUrl,mainImageURL,galleryImage1,galleryImage2,galleryImage3,galleryImage4
Phong Nha - Ke Bang National Park,,,17.477679,106.1340395,4.7,722,,"Sprawling national park in lush surrounds featuring a network of wet caves, rivers & waterfalls.",https://phongnhakebang.vn/,+84 232 3677 021,https://www.google.com/maps/search/?api=1&query=Phong%20Nha%20-%20Ke%20Bang%20National%20Park&query_place_id=ChIJ1Qr0lk66ODERsFgeYSxKO10,https://www.google.com/maps/search/?api=1&query=Phong%20Nha%20-%20Ke%20Bang%20National%20Park&query_place_id=ChIJ1Qr0lk66ODERsFgeYSxKO10,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqx4M-gMuGa9E_DGpC8hGe4XoAwM9Ncvzxmf2aiv31G-n6ATOzyoC6rT01cZZInvr_giLTr-0SOtJKB4FQCswUsiSVI_7qPcWJhkJyAtPtST3t5wTbvSqOmwmZ84K0tCHWJhtmD=w1920-h1080-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqi6lNhv00Nkxxihze4KSRBFwcxG_2bXnFm40H9DyEIvfPkz017rJO7kPZ9_-FYk1wugGBMR6R8-RfGGrJHhl2N7Jq8__Ki44HLZme27Q0h3XujtKrl29AbKC_6Y0ZOJcd2Cvde=w1920-h1080-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqU49zPxQbAcYZV5DUyWPrr-rlDLn-ShY9PguOG0-w8so5jRzH9docOV3lwzEFwXnfBcSmGz0v6ncJDxohP78ezYIMWE6rlOYr-cobuZvRkJ-nepXra7uT5CT7mpwRPiAS6m4T0=w1920-h1080-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noUkfp49wszMdRGD4gcdyl48AGWg10HQ7w1edY0SfT4WoJBicb3l7O-VSh4dkfdBhbFmIDR2snhxP3MJ0w65VCtyIACyQtmPUq-yb1m_w8zpGtHXHgXNdq-ErmkY7AWyAe4YrNg=w1920-h1080-k-no
Bamboo's House,,,17.4884458,106.6272126,3.9,146,143 Trương Pháp,,,+84 933 270 726,https://www.google.com/maps/search/?api=1&query=Bamboo's%20House&query_place_id=ChIJGUHsnTJXRzERkUCbb_S_0iU,https://www.google.com/maps/search/?api=1&query=Bamboo's%20House&query_place_id=ChIJGUHsnTJXRzERkUCbb_S_0iU,https://lh3.googleusercontent.com/p/AF1QipNhTFosR6iK3kLXIVZZOHjXgna9L3yzXICYoM-C=w1920-h1080-k-no,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/87/08/22/bamboo-s-house.jpg?w=2100&h=1400&s=1,https://cdn.worldota.net/t/1024x768/content/3f/16/3f161586a01d3f2096c1ab4828457ce1889eca99.JPEG,https://lh3.googleusercontent.com/p/AF1QipMj8ctI_sS51c7iK7NMk3Ei2_Y637oVDH0UQ_-q=w1920-h1080-k-no
Bao Ninh beach Resort,,,17.4607085,106.6444753,4.3,929,Đường Võ Nguyên Giáp,,,+84 232 3854 688,https://www.google.com/maps/search/?api=1&query=Bao%20Ninh%20beach%20Resort&query_place_id=ChIJKVOiPSVRRzER3cohvlarx24,https://www.google.com/maps/search/?api=1&query=Bao%20Ninh%20beach%20Resort&query_place_id=ChIJKVOiPSVRRzER3cohvlarx24,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrPXotmgkAUns5jxM8J9cibCEAuIT1Wp6YgDT1wGyHdVwh6k_qUhb7o_c0efBVnQQxmGXpnJvMtAc9_Hk6fgSCyZ61wUdSCAvrBfRqpHZRYMsSXWvXaU-W1sTWsvmRwjZrQWTWJ=w1920-h1080-k-no,https://cdn.worldota.net/t/1024x768/content/98/ba/98ba2bd808f7f367c01163d106a9ceda39bc8d08.jpeg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq_Px4CRGJJ0GqTOFUTid49jOs9Cheej957s8aUeQEWeUfRaTIlueFRmhLbaD9sLI3TzJxvlw_xKdej0xbHEUwn7XcxIerGngxmZjM4VMO_jEKAIz8OcMvH_c8k4oQ6HdohaDU=w1920-h1080-k-no,https://cdn.worldota.net/t/1024x768/content/be/74/be743bbeaec3529e0499116f2a3af1b5ce2896e9.jpeg
Bánh khoái Tứ Quý,,,17.464644,106.6268376,4,512,17 Cô Tám,,https://www.foody.vn/quang-binh/banh-khoai-tu-quy,+84 232 3821 371,https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20kho%C3%A1i%20T%E1%BB%A9%20Qu%C3%BD&query_place_id=ChIJ_5JWcM1WRzERsjgB4hxRG4Y,https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20kho%C3%A1i%20T%E1%BB%A9%20Qu%C3%BD&query_place_id=ChIJ_5JWcM1WRzERsjgB4hxRG4Y,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrEWv-BqelmoACwpovREyrpKG4OPkEEGam8fnW0AtjEKnk7igE8BSMLZnlTQ2QfY6lFos3w4JoHCSJmxxagR8indmNrm6vZaoTe4EpNaH8KDCpyE97AylssKQC0MO23MuOq5l8=w1920-h1080-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npyVOTw2K7pbN7pizh5WySglRsG-tjCcAi8x67RA4fIARvn0El9yPgLlpCS8EWYEdATCfiBZsHTIGsGZbTQAOYvFI0H4yNn3_WkRa4uaOE2OXHkDRqS_SP14RBfYP5glhlOifLP=w1920-h1080-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npY0--5AWsinV96-Io5zcumFPA3_6yjKGU-hkVElEmBJBTE5cYq23QoKWEpvILk9BkB1O5HLSdipxCoKvliDnrkeGBsuUkhuHHuA4MWQCMYSmrGnNVe0OXXEfuDHNqaZkmzv62V=w1920-h1080-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqfaTQ9DQWIw8E5mlkBjx1VxpvLAflL4eJ1plHAcut8RqIm2i9okmClijc9ECd6dcf_hGrdNuhmeRjyCldHDC1eurcgfjKuTxN6UEZbT4MuiHJ0ymkIBC-uf_0TmH3bW8NEhB27=w1920-h1080-k-no
Bún bò Huế (KINH THÀNH),,,17.6110797,106.307289,5,13,J864+CWM,,,+84 775 359 035,https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20b%C3%B2%20Hu%E1%BA%BF%20(KINH%20TH%C3%80NH)&query_place_id=ChIJd-GLBAC7ODERzM5e57U8uL4,https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20b%C3%B2%20Hu%E1%BA%BF%20(KINH%20TH%C3%80NH)&query_place_id=ChIJd-GLBAC7ODERzM5e57U8uL4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqfbSUXAkFjrseqnH0rTfQZnOa8IxmPVOKUadRxHbgEnMnca0WE8CBuvXYxGgCwnqccuZb5CS9r1zMmpENzxWUbKXhFtoRpKYNc0nPV4IJwnIECi11cheVKDHOfMzaMVLB--yk5=w1920-h1080-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noQf078c7u_NV-vmkSYXCbZlHUREvhx6ZLT2qPnPLD3oKtmeV2WsWfzgOhLfQaUM5DrETIcNJMhsBVZ37ldc7DWYaQWPxOVoYL-f5g0I5KtKcjJcFJyL9GGtCHxQmAQ7cePRL3t=w1920-h1080-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrMZDpqZv3S67sY8PJ9p4yCqF7HB_oGShL3jqWwpfqYbWJl6uLQB6MFUV8J2adRwdYE3MI_QcMNQZigj5XU6b5bcUicIT3fnwVugWjgYgq-QwziojeL0gKlQSfqPWhFnTUWzP3y=w1920-h1080-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npo1PTtke4RGxkVbygUWSQzXRNTEwDg6xY8X9ZNQZUpsBub_unIoLJHPukGd4nWbPPVVkiK-IYlqkGC-pKPXkeFaP2l65UQ6ZtiWcFNN3UPuJJQGkPQJnRSBmcbxq9F8B2NKKoG=w1920-h1080-k-no
Celina Peninsula Resort- Resort đẹp Quảng Bình,,,17.4604338,106.6446597,4.5,919,Võ Nguyên Giáp,,http://celinaresort.com/,+84 232 3900 999,https://www.google.com/maps/search/?api=1&query=Celina%20Peninsula%20Resort-%20Resort%20%C4%91%E1%BA%B9p%20Qu%E1%BA%A3ng%20B%C3%ACnh&query_place_id=ChIJIa91_atRRzERGAI7n9LO8mA,https://www.google.com/maps/search/?api=1&query=Celina%20Peninsula%20Resort-%20Resort%20%C4%91%E1%BA%B9p%20Qu%E1%BA%A3ng%20B%C3%ACnh&query_place_id=ChIJIa91_atRRzERGAI7n9LO8mA,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noSs4YQO1k1IxdLBH2Njq2dzTz6EtrnU8kP8g_bRBQWZEng-m5xHhxulCeH_LjWC-5wYtC1Uxtt7tp6vsi4X-Cbb_oqyyWb-hjdTPN1Do-i-S9qkhlMOKZNFHYXuaeZQz4bmSme-Q=w1920-h1080-k-no,https://lh3.googleusercontent.com/p/AF1QipOtZIPDl5imdL9W1kAbS7T3sepqNJAVNKlWzJv5=w1920-h1080-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noR2BF0Gjxlk_VDPmQX-izx1nvxJY69ZmXXE0mDmWvcO7FjXeqNv2sL3s_NAZ6JGGxxlP3PMMUaD379k5U__vSDoMERd2tfTaPfvR1vJOleXU5lNpJr_YkIC_OnxwGSsLyFZiXj=w1920-h1080-k-no,https://cdn.worldota.net/t/1024x768/content/13/da/13da38d34bc5a851b637b12a717b86742787db7a.jpeg
BinBin Homestay Đồng Hới Quảng Bình,,,17.5068264,106.6148254,4.4,21,240 Nguyễn Hữu Hào,,,+84 941 375 586,https://www.google.com/maps/search/?api=1&query=BinBin%20Homestay%20%C4%90%E1%BB%93ng%20H%E1%BB%9Bi%20Qu%E1%BA%A3ng%20B%C3%ACnh&query_place_id=ChIJMd49HENXRzERtjX_jrg4XMg,https://www.google.com/maps/search/?api=1&query=BinBin%20Homestay%20%C4%90%E1%BB%93ng%20H%E1%BB%9Bi%20Qu%E1%BA%A3ng%20B%C3%ACnh&query_place_id=ChIJMd49HENXRzERtjX_jrg4XMg,https://lh3.googleusercontent.com/p/AF1QipMhvo3wWC00S2HlOkjJieEn9WG2HPNcZZnBa5-5=w1920-h1080-k-no,https://lh3.googleusercontent.com/p/AF1QipOfFP2h9gomRjmnV3f1w-T-uKmVZiGjxqvsNkki=w1920-h1080-k-no,https://lh3.googleusercontent.com/p/AF1QipMl82v7eZ_RzOWCwVYS_kPWG2Q0lhS-_EF8ZqQe=w1920-h1080-k-no,https://lh3.googleusercontent.com/p/AF1QipPISSRbGwf7eSG6ITWoDHIVY8VpxtJh-PbnTUZV=w1920-h1080-k-no
Chày Lập Farmstay,,,17.6017277,106.2546176,4.4,696,,"Relaxed bungalows offering free Wi-Fi, plus an outdoor pool, bike rentals & a restaurant & a bar.",https://chaylapfarmstay.com/,+84 931 357 677,https://www.google.com/maps/search/?api=1&query=Ch%C3%A0y%20L%E1%BA%ADp%20Farmstay&query_place_id=ChIJs8YPa9W7ODERlOtgJXbYvTM,https://www.google.com/maps/search/?api=1&query=Ch%C3%A0y%20L%E1%BA%ADp%20Farmstay&query_place_id=ChIJs8YPa9W7ODERlOtgJXbYvTM,https://lh3.googleusercontent.com/p/AF1QipPRu8FwZBoWNgQ6DBos4F8k6GW0pAM5f-FIDX6Y=w1920-h1080-k-no,https://lh3.googleusercontent.com/p/AF1QipMUW5baxK9xRRp2Ie9LVCowpBY05MDFpivCv_Br=w1920-h1080-k-no,https://lh3.googleusercontent.com/p/AF1QipMBoRZtCAv7scs2S5jWmH-kwkM7Nvu7BzBfC9fz=w1920-h1080-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrzDVfUja1IEEZt5RIqhtCGyCSBHMgCKVurwEtGDvaZAUa78Zzb-T6Z4WXkEdzPfcL3QcCyj9FTZYDqBhZiSGXht7_QzCSJHb9OUm7ypMCr_C1_lgYinCadh2NIYU9xGphSRqJo3w=w1920-h1080-k-no
BEE PUB - PHONG NHA,,,17.6103887,106.3095841,5,324,ĐT20,,https://bee-hive-adventures.lovable.app/,,https://www.google.com/maps/search/?api=1&query=BEE%20PUB%20-%20PHONG%20NHA&query_place_id=ChIJk0p-dQC7ODERBfF1sLfp_Y0,https://www.google.com/maps/search/?api=1&query=BEE%20PUB%20-%20PHONG%20NHA&query_place_id=ChIJk0p-dQC7ODERBfF1sLfp_Y0,https://lh3.googleusercontent.com/p/AF1QipM4sbnWekRTRRApX0xEHX6EpQ_CAGH7vHhS_b-1=w1920-h1080-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npZfO__sMwsThBhM1hlePOu6lXK1EyKDLDZupsQrQ7XRUjlDExGib5gD6iOC0Lx4JThM-F1xIf4LBHxL0qHWpFowNQ3_5VVJHofv5drMrUf4K6v2CalHOEdW0LdfR76kwCZoIzYF5GojkcM=w1920-h1080-k-no,https://lh3.googleusercontent.com/p/AF1QipM2MzOGPIyqw2hRMe5Lyd2Q8ndoqLbgciBec36b=w1920-h1080-k-no,https://lh3.googleusercontent.com/p/AF1QipPw-GgB-7k9JFSQ1i6MJxKKiILzFqYeuYoT26Y7=w1920-h1080-k-no
Cối Xay Gió Homestay Quảng Bình,,,17.460365,106.6384242,4.4,21,,,https://www.facebook.com/coixaygiohomestaycoffee.quangbinh,+84 905 959 388,https://www.google.com/maps/search/?api=1&query=C%E1%BB%91i%20Xay%20Gi%C3%B3%20Homestay%20Qu%E1%BA%A3ng%20B%C3%ACnh&query_place_id=ChIJAUBlfzVRRzERNNRu9V8I_pI,https://www.google.com/maps/search/?api=1&query=C%E1%BB%91i%20Xay%20Gi%C3%B3%20Homestay%20Qu%E1%BA%A3ng%20B%C3%ACnh&query_place_id=ChIJAUBlfzVRRzERNNRu9V8I_pI,https://lh3.googleusercontent.com/p/AF1QipN1iA_7FzvuWETQyFQLsJJ64EM8_kM60dd0lIP5=w1920-h1080-k-no,https://lh3.googleusercontent.com/p/AF1QipPq4z895T08A6npnYbcTu38ehvadH1uzJY9_8uJ=w1920-h1080-k-no,https://lh3.googleusercontent.com/p/AF1QipMsDp5Xz1ic8jrGN1sCJbm0DvwPFLtxpdsy60MH=w1920-h1080-k-no,https://lh3.googleusercontent.com/p/AF1QipPRAb8HzPli52L7ziD7T6CETRpID_PCF6FHcTzQ=w1920-h1080-k-no
Danh Lam Homestay(tân hoá.quảng bình),,,17.7713454,106.0393893,5,23,,,,+84 916 940 643,https://www.google.com/maps/search/?api=1&query=Danh%20Lam%20Homestay(t%C3%A2n%20ho%C3%A1.qu%E1%BA%A3ng%20b%C3%ACnh)&query_place_id=ChIJrSk1g4bpODERCVB71g7geNE,https://www.google.com/maps/search/?api=1&query=Danh%20Lam%20Homestay(t%C3%A2n%20ho%C3%A1.qu%E1%BA%A3ng%20b%C3%ACnh)&query_place_id=ChIJrSk1g4bpODERCVB71g7geNE,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noCWQCMnZkGwPEURBtpCsZTGnUoemO5In0beGL3YHep-FBXL-OJTJkq6BMmZiT7N6qiOM0vr-H2YXXWFkqnm8qj4fc3R2a5s0BEvWN5ByZGd2C5A9Xmxa0K8mwlyKvsQ25rFlUc5A=w1920-h1080-k-no,https://lh3.googleusercontent.com/p/AF1QipM0eIPVtYcQlIXhpWtMd7GyI2E5pzJ_BeBPsO98=w1920-h1080-k-no,https://lh3.googleusercontent.com/p/AF1QipON3dBIbyrxiqk2j5NQQIN2CJ2yE2ZMCCRpOT2e=w1920-h1080-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nriXrg09nKbgXC5rIjjB73iMnIZL3gm4SzLDzeBkLTtxDqmKGPY-bpZ598Pivpqsc8HIXAng0NAZfwk0Owmw_C2lWSMK_3zI3U7M73h1wliTZ09_5EN-fr2Ot6Y7FO8lAtcjFuduw=w1920-h1080-k-no
Coffee Lyly 89,,,17.5819114,106.2547529,4.8,82,Thôn chày lập,,,,https://www.google.com/maps/search/?api=1&query=Coffee%20Lyly%2089&query_place_id=ChIJW92OIQC7ODERgrNPuZME3ME,https://www.google.com/maps/search/?api=1&query=Coffee%20Lyly%2089&query_place_id=ChIJW92OIQC7ODERgrNPuZME3ME,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrt51SQYYeZrWLddOgV31XM_ubQbW8fYQo5mx7gpgN9qNxIF0n-ZpoGA2AjXsG3KWi2Phn4LC8kO-qhvXHkjnjk3-VwS1rM7ED_Nec_v-jvBAZdonhZS0KGzhLcszrBnzmgMLhz=w1920-h1080-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npeLLzJPC5lsrQQjDYuahMlv7TsAZTUoHoOz2gmCNexQXVsIFP-vDUXEN-EenVCH_mq83Ip6x0lXP88kbE-wVoR-SHRjY7tt5u-q5KlbgXTLRyHQ6RmMV1_4iRXjQd56LhA58Jg=w1920-h1080-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrm_1uhmpyXVPdKG_HTciUhNNO-PAM70rMaHDOUMB9a7-JqRf4GftDTKeGVbxydiWtiwoIaQFLBMWGUD2Q-zcMx2-1zhzj41Z09yTAYIMz2ZEyjArPew9IityOniTVtBaQjYfymdQ=w1920-h1080-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqP1CRsCY7W_I1tJ_iExexRiRSh95axPyGtU4svbRNJuKdLfcBG00HjvFa-a2Hg0WMWLVWgmsckCZHwjJtVQBVCn39vE-FQVlPiLOyEaWvw062T6W9q8ClILSgO2wsYMAWZbX7abRsjp_nM=w1920-h1080-k-no
Dolphin Homestay,,,17.4766416,106.6234009,4.8,314,42 Nguyễn Du,Simply furnished rooms & mixed dorms in a straightforward hotel offering free breakfast & bikes.,http://dolphinhomeqb.com/,+84 985 668 563,https://www.google.com/maps/search/?api=1&query=Dolphin%20Homestay&query_place_id=ChIJa_YK_dVWRzERJeQXqDmgugE,https://www.google.com/maps/search/?api=1&query=Dolphin%20Homestay&query_place_id=ChIJa_YK_dVWRzERJeQXqDmgugE,https://lh3.googleusercontent.com/p/AF1QipMRA6lMjhV1vsuQ3e4bnFnvJHktf8w5vhBp89nt=w1920-h1080-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrWIWSErEOCb9oUQhkbirgF8SUwVsQqtQVX3bnHnk8C82SpssunUZ84HmUrXa8YhLPnlV0zahB2XzJHbbYC7WXt6ib_f0AboF6SpVAMN4NF21cZ-z-uobIIc8DVx9ELSXs85FUU=w1920-h1080-k-no,https://lh3.googleusercontent.com/p/AF1QipOJYBp27WEkSV9Z_27yXm-vmfeE81zi5N4V4tx3=w1920-h1080-k-no,https://lh3.googleusercontent.com/p/AF1QipP_JFAuc-Pt7WaUdrrKFBGYKzDFJ_hFMjkhbjTw=w1920-h1080-k-no
5 ELEMENTS,,,17.6215767,106.3682372,5,3,J9C9+J7Q,,,,https://www.google.com/maps/search/?api=1&query=5%20ELEMENTS&query_place_id=ChIJIZjNQAClODERkjAYUqkLVhU,https://www.google.com/maps/search/?api=1&query=5%20ELEMENTS&query_place_id=ChIJIZjNQAClODERkjAYUqkLVhU,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrmkHmAmixDKd4mcH31ubnX17m6j6mBaN1Ccs72rlCBs7CrQh1JY4-6eyysnSPuICKAKaYIGWVCGqjCnSuJFaKsR66LcquJP2pSDyyHTNyXI-aCSnW4rUCp6p_cUVOg5_-kCTWBtw=w1920-h1080-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noaFs11Ap-AzSEpsqYEPunekdbJPCSUct765PnWTSUzDiAm3hgycI5hC9Qg-CoSlD5iJrpLFe3hftH9CJbEYL56LLCMtVzOHItO81_H6qJi27MaGBfwulXjRSPmlFc8MZYfqEZgmQ=w1920-h1080-k-no,,
